,Task,Start,Finish,Duration
106,"Secondary Upgrade 'SES2S2', 'SES1S2', 'FPM1S2' pre-actions 0",2023-01-12 06:36:29,2023-01-12 06:40:32,Duration: 0:04:03
107,Secondary Get VNFR Logs 7,2023-01-12 06:42:29,2023-01-12 06:43:15,Duration: 0:00:46
108,"Secondary Create cloud-init ISO SES2S2,SES1S2,FPM1S2 0",2023-01-12 06:43:46,2023-01-12 06:44:08,Duration: 0:00:22
109,Secondary VM Disk Replacement astl5-site2-host42-SES1S2 0,2023-01-12 06:45:36,2023-01-12 06:48:48,Duration: 0:03:12
110,Secondary VM Disk Replacement astl5-site2-host42-SES2S2 0,2023-01-12 06:48:57,2023-01-12 06:50:11,Duration: 0:01:14
111,Secondary VM Disk Replacement astl5-site2-host42-FPM1S2 0,2023-01-12 06:50:19,2023-01-12 06:52:30,Duration: 0:02:11
112,Secondary SES1S2-configure.log 0,2023-01-12 06:50:19,2023-01-12 06:55:03,Duration: 0:04:44
113,Secondary SES2S2-configure.log 0,2023-01-12 06:51:48,2023-01-12 06:55:27,Duration: 0:03:39
114,Secondary FPM1S2-configure.log 0,2023-01-12 06:53:50,2023-01-12 06:55:14,Duration: 0:01:24
115,Secondary SES1S2-commissioning.log 0,2023-01-12 06:55:04,2023-01-12 07:08:58,Duration: 0:13:54
116,Secondary FPM1S2-commissioning.log 0,2023-01-12 06:55:15,2023-01-12 06:57:56,Duration: 0:02:41
117,Secondary SES2S2-commissioning.log 0,2023-01-12 06:55:28,2023-01-12 07:07:22,Duration: 0:11:54
118,Secondary Mop Apply 11,2023-01-12 07:09:53,2023-01-12 07:10:15,Duration: 0:00:22
119,Secondary Post Start 3,2023-01-12 07:18:42,2023-01-12 07:22:06,Duration: 0:03:24
120,Half Pause 0,2023-01-10 13:35:01,2023-01-12 04:47:53,"Duration: 1 day, 15:12:52"
